date,VIX,returns,vol_of_vol,vix_mean,vix_std,vix_zscore,regime,vix_trend,regime_trend,regime_0,regime_1,regime_2,regime_3
1990-01-02,17.24,,,,,,1,,1,0.0,1.0,0.0,0.0
1990-01-03,18.19,0.05510440835266839,,,,,1,,1,0.0,1.0,0.0,0.0
1990-01-04,19.22,0.05662451896646492,,,,,1,,1,0.0,1.0,0.0,0.0
1990-01-05,20.11,0.04630593132154015,,,,,1,,1,0.0,1.0,0.0,0.0
1990-01-08,20.26,0.007458975634013099,,,,,1,,1,0.0,1.0,0.0,0.0
1990-01-09,22.2,0.09575518262586358,,,,,1,,1,0.0,1.0,0.0,0.0
1990-01-10,22.44,0.010810810810810922,,,,,1,,1,0.0,1.0,0.0,0.0
1990-01-11,20.05,-0.10650623885918009,,,,,1,,1,0.0,1.0,0.0,0.0
1990-01-12,24.64,0.22892768079800496,,,,,1,,1,0.0,1.0,0.0,0.0
1990-01-15,26.34,0.06899350649350655,,,,,1,,1,0.0,1.0,0.0,0.0
1990-01-16,24.18,-0.08200455580865607,,,,,1,,1,0.0,1.0,0.0,0.0
1990-01-17,24.16,-0.0008271298593879317,,,,,1,,1,0.0,1.0,0.0,0.0
1990-01-18,24.34,0.007450331125827825,,,,,1,,1,0.0,1.0,0.0,0.0
1990-01-19,22.5,-0.07559572719802798,,,,,1,,1,0.0,1.0,0.0,0.0
1990-01-22,26.7,0.18666666666666654,,,,,1,,1,0.0,1.0,0.0,0.0
1990-01-23,24.72,-0.07415730337078652,,,,,1,,1,0.0,1.0,0.0,0.0
1990-01-24,25.39,0.027103559870550242,,,,,1,,1,0.0,1.0,0.0,0.0
1990-01-25,25.63,0.00945254037022436,,,,,1,,1,0.0,1.0,0.0,0.0
1990-01-26,26.28,0.025360905189231397,,,,,1,,1,0.0,1.0,0.0,0.0
1990-01-29,26.44,0.0060882800608828,,,,,1,,1,0.0,1.0,0.0,0.0
1990-01-30,27.25,0.030635400907715438,,,,,1,,1,0.0,1.0,0.0,0.0
1990-01-31,25.36,-0.06935779816513765,1.311474773936416,,,,1,0.47099767981438534,1_up,0.0,1.0,0.0,0.0
1990-02-01,24.87,-0.019321766561514186,1.3128822963088786,,,,1,0.36723474436503567,1_up,0.0,1.0,0.0,0.0
1990-02-02,24.32,-0.022114997989545637,1.3120955799397287,,,,1,0.26534859521331944,1_up,0.0,1.0,0.0,0.0
1990-02-05,24.54,0.009046052631578982,1.3069962938590314,,,,1,0.22028841372451513,1_up,0.0,1.0,0.0,0.0
1990-02-06,24.69,0.006112469437652868,1.3070708953588122,,,,1,0.21865745310957552,1_up,0.0,1.0,0.0,0.0
1990-02-07,24.29,-0.016200891049007793,1.274346658760052,,,,1,0.09414414414414418,1_flat,0.0,1.0,0.0,0.0
1990-02-08,23.77,-0.02140798682585421,1.278068729122898,,,,1,0.05926916221033851,1_flat,0.0,1.0,0.0,0.0
1990-02-09,23.69,-0.0033655868742110684,1.2122884719496163,,,,1,0.18154613466334157,1_flat,0.0,1.0,0.0,0.0
1990-02-12,24.38,0.029126213592232997,0.9214900892833672,,,,1,-0.010551948051948146,1_flat,0.0,1.0,0.0,0.0
1990-02-13,23.76,-0.025430680885972,0.8913038605223879,,,,1,-0.0979498861047835,1_flat,0.0,1.0,0.0,0.0
1990-02-14,22.05,-0.07196969696969702,0.8807779033408614,,,,1,-0.0880893300248139,1_flat,0.0,1.0,0.0,0.0
1990-02-15,19.71,-0.10612244897959178,0.9503085731350769,,,,1,-0.1841887417218543,1_flat,0.0,1.0,0.0,0.0
1990-02-16,20.78,0.054287163876205025,0.9734714340083618,,,,1,-0.14626129827444534,1_flat,0.0,1.0,0.0,0.0
1990-02-20,22.78,0.09624639076034658,0.9998137190488869,,,,1,0.01244444444444448,1_flat,0.0,1.0,0.0,0.0
