date,VXAZN,VIX9D,VIX,VXAPL,VIX_returns,VIX_vol,VIX_ma20,VIX_ma50,VIX_pct_ma20,VIX_pct_ma50,VIX_mean,VIX_std,VIX_zscore,VIX_trend_5d,VIX_trend_21d,regime,regime_0,regime_1,regime_2,regime_3
1990-01-02,37.29,16.06,17.24,31.57,,,,,,,,,,,,1,0.0,1.0,0.0,0.0
1990-01-03,37.29,16.06,18.19,31.57,0.05510440835266839,,,,,,,,,,,1,0.0,1.0,0.0,0.0
1990-01-04,37.29,16.06,19.22,31.57,0.05662451896646492,,,,,,,,,,,1,0.0,1.0,0.0,0.0
1990-01-05,37.29,16.06,20.11,31.57,0.04630593132154015,,,,,,,,,,,1,0.0,1.0,0.0,0.0
1990-01-08,37.29,16.06,20.26,31.57,0.007458975634013099,,,,,,,,,,,1,0.0,1.0,0.0,0.0
1990-01-09,37.29,16.06,22.2,31.57,0.09575518262586358,,,,,,,,,0.28770301624129946,,1,0.0,1.0,0.0,0.0
1990-01-10,37.29,16.06,22.44,31.57,0.010810810810810922,,,,,,,,,0.23364485981308403,,1,0.0,1.0,0.0,0.0
1990-01-11,37.29,16.06,20.05,31.57,-0.10650623885918009,,,,,,,,,0.043184183142559895,,1,0.0,1.0,0.0,0.0
1990-01-12,37.29,16.06,24.64,31.57,0.22892768079800496,,,,,,,,,0.2252610641471906,,1,0.0,1.0,0.0,0.0
1990-01-15,37.29,16.06,26.34,31.57,0.06899350649350655,,,,,,,,,0.30009871668311927,,1,0.0,1.0,0.0,0.0
1990-01-16,37.29,16.06,24.18,31.57,-0.08200455580865607,,,,,,,,,0.08918918918918917,,1,0.0,1.0,0.0,0.0
1990-01-17,37.29,16.06,24.16,31.57,-0.0008271298593879317,,,,,,,,,0.07664884135472372,,1,0.0,1.0,0.0,0.0
1990-01-18,37.29,16.06,24.34,31.57,0.007450331125827825,,,,,,,,,0.21396508728179553,,1,0.0,1.0,0.0,0.0
1990-01-19,37.29,16.06,22.5,31.57,-0.07559572719802798,,,,,,,,,-0.08685064935064934,,1,0.0,1.0,0.0,0.0
1990-01-22,37.29,16.06,26.7,31.57,0.18666666666666654,,,,,,,,,0.013667425968109326,,1,0.0,1.0,0.0,0.0
1990-01-23,37.29,16.06,24.72,31.57,-0.07415730337078652,,,,,,,,,0.022332506203473823,,1,0.0,1.0,0.0,0.0
1990-01-24,37.29,16.06,25.39,31.57,0.027103559870550242,,,,,,,,,0.050910596026490174,,1,0.0,1.0,0.0,0.0
1990-01-25,37.29,16.06,25.63,31.57,0.00945254037022436,,,,,,,,,0.05299917830731293,,1,0.0,1.0,0.0,0.0
1990-01-26,37.29,16.06,26.28,31.57,0.025360905189231397,,,,,,,,,0.16800000000000015,,1,0.0,1.0,0.0,0.0
1990-01-29,37.29,16.06,26.44,31.57,0.0060882800608828,,23.051499999999997,,1.1469969416306967,,,,,-0.009737827715355696,,1,0.0,1.0,0.0,0.0
1990-01-30,37.29,16.06,27.25,31.57,0.030635400907715438,,23.552,,1.157014266304348,,,,,0.10234627831715226,,1,0.0,1.0,0.0,0.0
1990-01-31,37.29,16.06,25.36,31.57,-0.06935779816513765,1.311474773936416,23.9105,,1.060621902511449,,,,,-0.0011815675462780728,0.47099767981438534,1,0.0,1.0,0.0,0.0
1990-02-01,37.29,16.06,24.87,31.57,-0.019321766561514186,1.3128822963088786,24.193,,1.0279833009548216,,,,,-0.029652750682793494,0.36723474436503567,1,0.0,1.0,0.0,0.0
1990-02-02,37.29,16.06,24.32,31.57,-0.022114997989545637,1.3120955799397287,24.4035,,0.996578359661524,,,,,-0.07458143074581436,0.26534859521331944,1,0.0,1.0,0.0,0.0
1990-02-05,37.29,16.06,24.54,31.57,0.009046052631578982,1.3069962938590314,24.6175,,0.9968518330455977,,,,,-0.07186081694402424,0.22028841372451513,1,0.0,1.0,0.0,0.0
1990-02-06,37.29,16.06,24.69,31.57,0.006112469437652868,1.3070708953588122,24.741999999999997,,0.9978983105650313,,,,,-0.09394495412844028,0.21865745310957552,1,0.0,1.0,0.0,0.0
1990-02-07,37.29,16.06,24.29,31.57,-0.016200891049007793,1.274346658760052,24.8345,,0.9780748555436993,,,,,-0.04219242902208198,0.09414414414414418,1,0.0,1.0,0.0,0.0
1990-02-08,37.29,16.06,23.77,31.57,-0.02140798682585421,1.278068729122898,25.020500000000002,,0.9500209827941087,,,,,-0.044229995979091385,0.05926916221033851,1,0.0,1.0,0.0,0.0
1990-02-09,37.29,16.06,23.69,31.57,-0.0033655868742110684,1.2122884719496163,24.973,,0.9486245144756338,,,,,-0.025904605263157854,0.18154613466334157,1,0.0,1.0,0.0,0.0
1990-02-12,37.29,16.06,24.38,31.57,0.029126213592232997,0.9214900892833672,24.875,,0.9801005025125628,,,,,-0.006519967400163029,-0.010551948051948146,1,0.0,1.0,0.0,0.0
1990-02-13,37.29,16.06,23.76,31.57,-0.025430680885972,0.8913038605223879,24.854,,0.9559829403717712,,,,,-0.0376670716889429,-0.0979498861047835,1,0.0,1.0,0.0,0.0
1990-02-14,37.29,16.06,22.05,31.57,-0.07196969696969702,0.8807779033408614,24.7485,,0.8909630886720408,,,,,-0.09221902017291062,-0.0880893300248139,1,0.0,1.0,0.0,0.0
1990-02-15,37.29,16.06,19.71,31.57,-0.10612244897959178,0.9503085731350769,24.517,,0.8039319655749073,,,,,-0.17080353386621783,-0.1841887417218543,1,0.0,1.0,0.0,0.0
1990-02-16,37.29,16.06,20.78,31.57,0.054287163876205025,0.9734714340083618,24.431,,0.8505587163849209,,,,,-0.12283663993246097,-0.14626129827444534,1,0.0,1.0,0.0,0.0
1990-02-20,37.29,16.06,22.78,31.57,0.09624639076034658,0.9998137190488869,24.235,,0.9399628636269858,,,,,-0.06562756357670207,0.01244444444444448,1,0.0,1.0,0.0,0.0
1990-02-21,37.29,16.06,23.89,31.57,0.048726953467954415,0.7664696964149744,24.1935,,0.9874553082439498,,,,,0.005471380471380405,-0.1052434456928838,1,0.0,1.0,0.0,0.0
1990-02-22,37.29,16.06,22.54,31.57,-0.056508999581414865,0.7483855216429292,24.051,,0.9371751694316245,,,,,0.022222222222222143,-0.0881877022653722,1,0.0,1.0,0.0,0.0
1990-02-23,37.29,16.06,23.69,31.57,0.051020408163265474,0.7650349532286248,23.954,,0.9889788761793438,,,,,0.201927955352613,-0.0669554942890902,1,0.0,1.0,0.0,0.0
1990-02-26,37.29,16.06,23.56,31.57,-0.005487547488391864,0.7639233505416921,23.818,,0.9891678562431773,,,,,0.13378248315688146,-0.08076472883339836,1,0.0,1.0,0.0,0.0
1990-02-27,37.29,16.06,22.69,31.57,-0.036926994906621324,0.7653730940725708,23.630499999999998,,0.9601997418590382,,,,,-0.003950834064969211,-0.13660578386605782,1,0.0,1.0,0.0,0.0
1990-02-28,37.29,16.06,21.99,31.57,-0.03085059497576037,0.7688000417228178,23.3675,,0.941050604472023,,,,,-0.07953118459606534,-0.1683055975794252,1,0.0,1.0,0.0,0.0
1990-03-01,37.29,16.06,21.9,31.57,-0.004092769440654842,0.7563420561792681,23.1945,,0.9441893552350772,,,,,-0.028393966282165062,-0.19633027522935786,1,0.0,1.0,0.0,0.0
1990-03-02,37.29,16.06,21.34,31.57,-0.025570776255707695,0.7271547625343345,23.018,,0.9271005300199844,,,,,-0.09919797382861972,-0.15851735015772872,1,0.0,1.0,0.0,0.0
1990-03-05,37.29,16.06,22.03,31.57,0.03233364573570774,0.7382207722686063,22.9035,,0.9618617241906259,,,,,-0.06494057724957547,-0.11419380780056287,1,0.0,1.0,0.0,0.0
