Date,Price
2010-01-01,100.0
2010-01-02,99.40788427500061
2010-01-03,99.81069472993516
2010-01-04,98.30476209297694
2010-01-05,97.42111135002776
2010-01-06,98.64283668201907
2010-01-07,98.77048746309265
2010-01-08,97.3842803551897
2010-01-09,101.340704295562
2010-01-10,102.84172505344405
2010-01-11,104.12377582302244
2010-01-12,105.00008244000563
2010-01-13,105.95531754761339
2010-01-14,103.66940090429323
2010-01-15,99.7838407874229
2010-01-16,104.38335691715521
2010-01-17,104.13959999985153
2010-01-18,105.92169888234926
2010-01-19,107.0624564418924
2010-01-20,104.94674584835249
2010-01-21,103.06281104321249
2010-01-22,103.2694677704649
2010-01-23,102.76579941968907
2010-01-24,100.58945506095216
2010-01-25,99.74992644309795
2010-01-26,97.52794037921055
2010-01-27,98.17108673890854
2010-01-28,98.62334325784946
2010-01-29,96.5927359096291
2010-01-30,94.51972119253202
2010-01-31,93.69136606417483
2010-02-01,93.79560766017492
2010-02-02,96.24193423348693
2010-02-03,95.9220542060887
2010-02-04,96.3196217597708
2010-02-05,94.66911184554166
2010-02-06,93.86070394015765
2010-02-07,94.80006232878874
2010-02-08,90.75299730007131
2010-02-09,89.26128695068029
2010-02-10,89.66532329266545
2010-02-11,90.02754014888171
2010-02-12,93.04522087374976
2010-02-13,95.05428635262771
2010-02-14,97.66265482476196
2010-02-15,99.32361181961161
2010-02-16,99.76682177559753
2010-02-17,100.18662969592955
2010-02-18,99.1070375970283
2010-02-19,98.04265437586487
2010-02-20,99.96939874592884
2010-02-21,102.4452034045767
2010-02-22,101.67502098906455
2010-02-23,99.44203851545453
2010-02-24,100.0399910624055
2010-02-25,99.74485670118989
2010-02-26,95.85349227711028
2010-02-27,95.81827275452986
2010-02-28,96.39476017645171
2010-03-01,96.33087722073009
2010-03-02,97.16042717632854
2010-03-03,98.80695409548579
2010-03-04,100.21836198864398
2010-03-05,99.61274884305482
2010-03-06,101.98254053523223
2010-03-07,99.14859983784987
2010-03-08,98.63593273895553
2010-03-09,96.13508157545611
2010-03-10,97.36777206884406
2010-03-11,96.77201264138279
2010-03-12,97.41864888856729
2010-03-13,97.24987425529145
